,P1eff,P2eff,P3eff,P4eff,P5eff,SSP1,SSP2,SSP3,SSP4,SSP5,cc,tri,elev,For_Evergr,cell_id
63,36,33,0,0,0,P1,P2,P3,P4,P5,60.06138697,1.033639075,1966.83066,0.942,50
64,0,20,36,36,36,P1,P2,P3,P4,P5,55.28607277,1.826969998,1879.863475,0.983,51
65,0,20,36,36,36,P1,P2,P3,P4,P5,48.99916528,1.267553768,1801.658887,0.96,51
66,36,36,6,0,0,P1,P2,P3,P4,P5,51.79309623,3.471963673,1624.224382,0.903,52
67,36,36,5,0,0,P1,P2,P3,P4,P5,51.86800754,2.166907645,1679.890877,0.949,52
68,36,36,36,36,28,P1,P2,P3,P4,P5,41.50251046,1.023856859,1890.391459,1,55
69,36,36,36,36,32,P1,P2,P3,P4,P5,40.08973018,1.272501356,1866.107584,1,55
70,36,36,0,0,0,P1,P2,P3,P4,P5,50.98136516,1.54467672,2034.819788,0.985,56
71,36,26,0,0,0,P1,P2,P3,P4,P5,58.03438155,1.650081271,2125.225352,0.941,56
72,0,32,36,36,36,P1,P2,P3,P4,P5,53.07830821,1.540226004,1674.450178,0.905,60
73,0,32,36,36,36,P1,P2,P3,P4,P5,40.03792959,1.322460832,1629.51526,0.802,60
74,36,36,36,36,0,P1,P2,P3,P4,P5,50.56044417,1.183147382,1689.191829,1,62
75,36,36,36,36,22,P1,P2,P3,P4,P5,46.4800922,1.291996581,1678.149201,0.983,62
76,36,36,36,36,20,P1,P2,P3,P4,P5,47.53107345,1.781514306,1684.932743,0.873,63
77,36,36,36,36,23,P1,P2,P3,P4,P5,51.63113722,1.363145582,1663.996454,0.943,63
78,36,36,36,36,20,P1,P2,P3,P4,P5,49.47480661,1.136899406,1714.153439,0.996,64
79,36,36,36,36,18,P1,P2,P3,P4,P5,51.78674472,1.607949433,1760.913274,0.972,64
80,22,36,36,36,36,P1,P2,P3,P4,P5,36.45975329,0.911339558,1961.277087,0.765,66
81,21,36,36,36,36,P1,P2,P3,P4,P5,42.52165725,0.872800323,1948.229277,0.888,66
82,8,9,16,11,0,P1,P2,P3,P4,P5,78.63892954,2.643764749,705.7728873,0.901,70
83,36,36,36,11,0,P1,P2,P3,P4,P5,83.00376569,2.457183699,776.6212389,0.863,70
84,36,36,36,22,0,P1,P2,P3,P4,P5,45.65021953,1.451002177,1500.864675,0.873,72
85,36,36,36,36,17,P1,P2,P3,P4,P5,69.93446399,2.337230379,1101.807899,0.651,76
86,36,36,36,36,24,P1,P2,P3,P4,P5,67.14426092,1.769825086,1126.227758,0.629,76
87,36,36,36,36,22,P1,P2,P3,P4,P5,73.47205359,2.666199095,1582.254025,0.839,77
88,36,36,36,36,18,P1,P2,P3,P4,P5,62.37347881,3.530135747,1495.729204,0.782,77
89,36,36,19,0,0,P1,P2,P3,P4,P5,67.60715032,2.153597285,1663.908929,1,78
90,36,36,36,36,18,P1,P2,P3,P4,P5,55.46516008,1.881178707,1718.584973,0.991,78
91,36,36,0,0,0,P1,P2,P3,P4,P5,42.47852504,1.560528213,1487.488536,0.368,79
92,36,36,11,0,0,P1,P2,P3,P4,P5,39.82537688,2.878479125,1689.509735,0.575,80
93,36,32,0,0,0,P1,P2,P3,P4,P5,44.57495296,1.75537683,1791.136525,0.882,80
94,36,23,0,0,0,P1,P2,P3,P4,P5,68.75157233,3.595427435,1159.966192,0.947,81
95,36,18,0,0,0,P1,P2,P3,P4,P5,72.974493,3.884782216,1077.113074,1,81
96,36,36,3,0,0,P1,P2,P3,P4,P5,45.31762982,1.694072398,2020.898577,0.955,83
97,36,36,36,36,14,P1,P2,P3,P4,P5,53.46957976,2.040168082,1452.051693,0.758,84
