,P1,P2,P3,P4,P5
1083,NA,1,1,1,0
1084,NA,1,1,1,1
1085,0,0,0,0,0
1086,1,1,1,0,0
1087,1,0,0,0,0
1088,1,0,1,0,0
1089,0,0,0,0,0
1090,0,0,0,0,0
1091,1,1,1,1,NA
1092,1,1,1,1,NA
1093,1,1,1,0,0
1094,0,0,0,0,0
1095,0,0,0,0,0
1096,0,0,0,1,1
1097,NA,0,0,0,0
1098,NA,0,0,0,0
1099,1,1,1,1,NA
1100,1,1,1,1,NA
1101,0,0,0,0,0
1102,1,1,1,0,0
1103,0,0,0,0,0
1104,1,1,1,1,0
1105,1,1,1,1,0
1106,0,1,1,0,0
1107,NA,1,1,1,1
1108,NA,1,0,0,1
1109,0,1,1,0,0
1110,1,1,1,1,0
1111,1,1,1,1,NA
1112,1,1,1,1,NA
1113,1,1,1,0,0
1114,1,1,1,0,1
1115,0,0,0,0,0
1116,1,1,1,1,0
1117,1,0,0,0,0
1118,1,1,1,1,1
1119,1,1,0,0,0
1120,1,1,1,1,0
1121,1,1,1,0,NA
1122,1,1,0,0,NA
1123,NA,0,1,1,1
1124,NA,0,0,0,0
1125,NA,0,0,0,0
1126,NA,0,0,0,0
1127,NA,0,0,0,0
1128,NA,0,0,0,0
1129,NA,0,0,0,0
1130,NA,1,1,0,0
1131,0,0,0,0,0
1132,1,1,1,1,1
1133,0,0,0,0,0
1134,0,0,0,0,0
1135,NA,0,0,0,0
1136,NA,0,1,1,0
1137,1,0,0,NA,NA
1138,1,1,1,NA,NA
1139,1,1,1,1,1
1140,1,1,1,1,1
1141,NA,1,1,1,1
1142,NA,0,0,0,0
1143,1,1,1,1,1
1144,1,1,1,1,0
1145,0,0,0,NA,NA
1146,0,0,0,NA,NA
1147,NA,0,0,0,0
1148,NA,0,0,0,0
1149,NA,0,0,0,0
1150,NA,1,1,1,1
1151,NA,1,1,0,0
1152,NA,1,1,1,1
1153,1,1,1,NA,NA
1154,0,0,0,NA,NA
1155,1,1,1,1,1
1156,1,1,1,0,1
1157,1,1,0,0,0
1158,1,1,1,1,1
1159,NA,0,0,0,0
1160,NA,1,1,1,1
1161,0,0,0,0,NA
1162,1,0,0,0,NA
1163,0,1,1,0,NA
1164,0,0,0,0,NA
1165,NA,0,0,0,0
1166,NA,1,1,1,1
1167,NA,0,0,0,0
1168,NA,0,0,0,0
1169,NA,1,1,1,1
1170,NA,0,1,1,1
1171,NA,0,0,1,1
1172,NA,1,1,1,1
1173,NA,1,1,1,0
1174,NA,1,1,0,0
1175,1,1,0,NA,NA
1176,1,1,1,NA,NA
1177,1,1,0,NA,NA
1178,NA,0,0,0,0
1179,NA,0,0,1,1
1180,1,1,0,0,NA
1181,1,1,1,1,NA
1182,1,0,0,0,NA
1183,0,0,0,0,NA
1184,1,1,1,0,0
1185,NA,0,1,1,1
1186,NA,0,0,0,0
1187,0,0,0,NA,NA
1188,0,0,0,NA,NA
1189,NA,1,1,0,0
1190,NA,1,1,0,1
1191,1,1,1,NA,NA
1192,1,1,1,NA,NA
1193,0,0,0,0,0
1194,0,0,0,0,0
1195,1,1,1,0,0
1196,1,1,1,1,0
1197,0,0,0,0,0
1198,1,1,1,0,0
1199,0,0,0,NA,NA
1200,0,0,0,NA,NA
1201,0,0,0,0,0
1202,0,0,0,0,0
1203,1,1,1,0,0
1204,1,1,0,0,0
1205,NA,0,0,0,0
1206,NA,0,1,0,0
1207,0,0,0,NA,NA
1208,0,0,0,NA,NA
1209,0,0,0,0,0
1210,1,0,0,0,0
1211,1,0,0,0,0
1212,1,1,1,0,0
1213,NA,0,0,0,0
1214,NA,0,0,0,0
1215,NA,0,1,1,1
1216,NA,1,1,1,1
1217,1,1,0,NA,NA
1218,1,1,0,NA,NA
1219,NA,NA,0,0,0
1220,NA,NA,1,1,0
1221,NA,NA,0,0,0
1222,NA,NA,0,0,0
1223,0,0,0,NA,NA
1224,0,0,0,NA,NA
1225,NA,NA,0,0,0
1226,NA,NA,1,1,1
1227,NA,0,0,0,0
1228,NA,0,0,0,0
1229,0,0,0,0,NA
1230,1,1,1,1,NA
1231,NA,NA,0,0,0
1232,NA,NA,1,1,1
1233,NA,NA,0,0,0
1234,NA,NA,0,0,0
1235,NA,NA,0,0,0
1236,NA,NA,1,1,1
1237,NA,1,NA,NA,NA
1238,NA,0,0,0,0
1239,NA,NA,0,0,0
1240,NA,NA,0,0,0
1241,NA,0,0,0,0
1242,NA,1,0,0,1
1243,NA,1,1,0,0
1244,NA,0,0,0,0
1245,NA,NA,0,0,0
1246,NA,NA,0,0,0
1247,NA,NA,0,0,0
1248,NA,NA,0,0,0
1249,NA,NA,0,0,0
1250,NA,NA,0,0,0
1251,NA,NA,0,0,0
1252,NA,NA,0,1,1
1253,NA,NA,0,1,1
1254,NA,NA,1,1,0
1255,NA,NA,0,0,0
1256,NA,NA,0,0,0
1257,NA,1,0,0,0
1258,NA,1,1,0,0
1259,1,1,1,0,1
1260,1,1,1,1,1
1261,NA,NA,0,0,0
1262,NA,NA,0,0,0
1263,NA,NA,0,1,1
1264,NA,NA,0,0,0
1265,NA,NA,0,0,0
1266,NA,NA,0,0,0
1267,NA,NA,0,0,0
1268,NA,NA,0,0,0
1269,NA,1,0,NA,NA
1270,NA,0,0,0,0
1271,NA,0,0,0,0
1272,NA,1,1,1,1
1273,NA,NA,0,0,0
1274,NA,NA,0,0,0
1275,0,0,0,0,0
1276,1,1,1,1,0
1277,NA,NA,1,0,1
1278,NA,NA,0,0,0
1279,NA,NA,0,0,0
1280,NA,NA,1,1,1
1281,NA,NA,0,0,0
1282,NA,NA,0,0,0
1283,NA,0,0,0,0
1284,NA,0,0,0,0
1285,1,1,1,0,1
1286,0,1,1,0,0
1287,1,1,1,0,0
1288,1,1,1,1,1
1289,NA,0,1,0,0
1290,NA,0,0,0,0
1291,NA,NA,0,0,0
1292,NA,NA,0,0,0
1293,NA,NA,0,0,0
1294,NA,NA,0,0,0
1295,NA,0,0,0,0
1296,NA,0,0,0,0
1297,0,0,0,0,0
1298,1,1,1,1,0
1299,0,0,NA,NA,NA
1300,0,1,1,1,0
1301,NA,0,0,0,0
1302,NA,0,0,0,0
1303,NA,1,1,1,0
1304,NA,0,0,0,0
1305,NA,NA,0,0,0
1306,NA,NA,0,0,0
1307,NA,NA,1,1,1
1308,NA,NA,0,0,0
1309,1,1,0,0,0
1310,1,1,1,1,1
1311,1,1,0,0,0
1312,0,0,0,0,0
1313,0,0,0,0,0
1314,0,0,0,0,0
1315,0,0,0,0,0
1316,0,0,0,0,0
1317,1,1,1,0,0
1318,0,1,1,1,0
1319,NA,0,0,0,0
1320,NA,0,0,0,0
1321,NA,NA,1,1,0
1322,NA,NA,1,1,1
1323,0,1,0,0,0
1324,1,1,1,0,0
1325,NA,0,0,0,0
1326,NA,0,0,0,0
1327,NA,0,0,0,0
1328,NA,0,0,0,0
1329,NA,NA,0,0,NA
1330,NA,NA,0,1,1
1331,NA,NA,0,0,0
1332,NA,NA,1,1,0
1333,0,0,0,0,0
1334,1,1,1,1,0
1335,NA,0,0,0,0
1336,NA,0,1,0,1
1337,NA,0,0,0,0
1338,NA,0,0,0,0
1339,NA,0,0,0,0
1340,NA,0,0,0,0
1341,NA,NA,0,0,0
1342,NA,NA,1,1,0
1343,1,0,NA,NA,NA
1344,0,0,0,0,0
1345,1,1,1,1,1
1346,NA,NA,0,0,0
1347,NA,NA,0,0,0
1348,1,1,1,0,0
1349,0,1,1,0,0
1350,1,1,1,1,1
1351,1,1,0,0,0
1352,NA,NA,1,1,0
1353,NA,NA,1,1,0
1354,NA,1,1,0,1
1355,NA,1,1,1,1
1356,NA,1,1,1,0
1357,NA,1,1,1,0
1358,NA,1,1,0,1
1359,1,1,1,0,0
1360,1,1,1,0,1
1361,1,1,1,1,0
1362,0,0,0,0,0
1363,NA,1,1,1,1
1364,NA,1,1,1,1
1365,NA,0,0,0,0
1366,NA,0,0,0,0
1367,NA,0,0,0,0
1368,NA,0,0,0,0
1369,0,1,1,0,0
1370,1,1,1,1,0
1371,1,1,0,0,0
1372,1,1,1,1,0
1373,1,1,0,0,1
1374,1,1,1,0,0
1375,0,0,0,0,0
1376,0,0,0,0,0
1377,NA,1,0,0,0
1378,NA,1,1,0,0
1379,0,0,NA,NA,NA
1380,0,0,0,0,0
1381,1,1,1,0,0
1382,1,1,1,1,1
1383,1,1,0,0,1
1384,1,1,1,1,0
1385,1,1,1,0,1
1386,0,0,0,0,0
1387,1,1,1,0,1
1388,1,1,0,0,0
1389,NA,1,1,1,0
1390,NA,1,1,1,1
1391,1,1,1,1,0
1392,1,1,1,0,0
1393,0,NA,NA,NA,NA
1394,1,1,1,1,1
1395,0,NA,NA,NA,NA
1396,1,0,0,0,0
1397,1,0,0,0,0
1398,1,1,0,0,0
1399,1,1,1,1,1
1400,1,1,0,0,0
1401,1,1,1,0,1
1402,1,1,1,1,1
1403,1,1,0,0,0
1404,1,NA,NA,NA,NA
1405,1,1,1,0,0
1406,1,0,0,0,0
1407,1,1,1,1,1
1408,1,1,1,0,0
1409,0,1,1,0,0
1410,1,1,1,1,1
1411,0,0,1,0,1
1412,1,1,0,NA,NA
1413,1,1,1,1,0
1414,1,1,0,1,0
1415,1,1,1,0,1
1416,1,1,1,1,1
1417,1,1,1,0,1
1418,1,1,1,1,0
1419,0,0,0,0,0
1420,0,0,0,0,0
1421,1,1,1,0,0
1422,1,1,1,1,1
1423,1,1,1,0,1
1424,1,1,0,1,1
1425,0,0,0,0,0
1426,0,0,0,0,0
1427,1,1,1,1,1
1428,0,0,0,0,0
1429,0,0,0,0,0
1430,0,0,0,0,0
1431,0,0,0,0,0
1432,0,0,0,0,0
1433,0,0,0,0,0
1434,0,0,0,0,0
1435,0,0,0,0,0
1436,0,0,0,0,0
1437,0,0,0,0,0
1438,0,0,0,0,0
1439,0,0,0,0,0
1440,1,1,0,0,0
1441,0,0,0,0,0
1442,0,0,0,0,0
1443,1,0,0,0,0
1444,1,0,0,0,0
1445,0,0,0,NA,NA
1446,0,0,0,NA,NA
1447,1,1,0,0,0
1448,1,0,1,0,0
1449,0,0,0,0,0
1450,0,0,0,0,0
1451,0,0,0,0,0
1452,0,0,0,0,0
1453,0,0,0,0,0
1454,0,0,0,0,0
1455,0,0,0,0,0
1456,0,0,0,0,0
1457,0,0,0,NA,NA
1458,1,1,1,NA,NA
1459,1,0,0,NA,NA
1460,1,0,0,NA,NA
1461,0,0,0,NA,NA
1462,0,0,0,0,NA
1463,0,1,1,0,NA
1464,1,1,0,0,0
1465,1,0,1,0,0
1466,1,1,1,0,0
1467,1,1,1,1,1
1468,1,1,1,NA,NA
1469,1,0,0,NA,NA
1470,1,1,1,NA,NA
1471,1,1,0,NA,NA
1472,0,0,0,0,0
1473,1,1,1,0,0
1474,1,1,1,1,0
1475,1,1,0,1,0
1476,0,0,0,0,0
1477,1,0,0,0,0
1478,1,1,0,0,0
1479,1,1,0,0,1
1480,NA,0,0,0,0
1481,NA,1,1,1,1
1482,0,0,0,0,NA
1483,0,0,0,0,NA
1484,0,0,0,0,NA
1485,1,0,0,0,NA
1486,1,0,0,NA,NA
1487,1,1,0,NA,NA
1488,NA,0,0,0,0
1489,NA,0,0,1,1
1490,NA,0,0,0,0
1491,NA,0,0,0,0
1492,1,1,0,NA,NA
1493,1,1,1,0,NA
1494,1,1,0,0,0
1495,0,NA,NA,NA,NA
1496,NA,0,0,0,0
1497,NA,1,1,1,1
1498,0,0,0,NA,NA
1499,1,1,0,NA,NA
1500,NA,0,0,0,0
1501,NA,0,0,0,0
1502,1,0,1,0,NA
1503,0,0,0,0,NA
1504,1,1,1,1,NA
1505,0,1,1,1,0
1506,1,1,1,NA,NA
1507,1,1,1,NA,NA
1508,1,1,1,NA,NA
1509,1,1,0,NA,NA
1510,0,0,0,0,NA
1511,0,0,0,0,NA
1512,0,0,0,0,NA
1513,0,0,0,0,NA
1514,0,0,0,0,0
1515,1,1,0,NA,NA
1516,0,0,0,NA,NA
1517,0,0,0,NA,NA
1518,0,0,0,NA,NA
1519,1,0,1,0,NA
1520,0,0,0,0,NA
1521,0,0,0,NA,NA
1522,0,0,0,NA,NA
1523,NA,1,1,1,1
1524,NA,0,0,0,0
1525,0,0,0,0,0
1526,0,0,0,0,0
1527,0,0,0,0,0
1528,0,0,0,0,0
1529,0,0,0,NA,NA
1530,0,0,0,NA,NA
1531,0,0,0,0,0
1532,0,0,0,0,0
1533,1,1,0,0,1
1534,0,0,0,0,0
1535,1,1,1,1,1
1536,1,0,1,0,0
1537,1,0,1,0,0
1538,0,0,0,0,0
1539,1,1,1,0,1
1540,1,1,1,1,1
1541,0,0,0,0,0
1542,0,0,0,0,0
1543,0,0,0,0,0
1544,0,0,0,NA,NA
1545,NA,1,0,0,0
1546,NA,0,0,0,0
1547,NA,0,0,0,0
1548,NA,0,0,0,0
1549,0,0,0,0,NA
1550,1,0,0,0,0
1551,1,1,0,0,0
1552,1,0,1,0,0
1553,0,0,0,0,NA
1554,1,1,0,0,NA
1555,0,0,0,0,0
1556,1,1,0,0,0
1557,0,0,0,0,NA
1558,0,1,0,0,NA
1559,0,0,0,0,0
1560,0,0,0,0,0
1561,0,0,0,0,NA
1562,0,0,0,0,NA
1563,1,1,1,1,NA
1564,1,0,1,1,NA
1565,0,0,0,0,NA
1566,0,0,0,0,NA
1567,1,0,0,0,NA
1568,0,0,0,0,NA
1569,0,0,0,0,NA
1570,1,0,1,1,NA
1571,0,0,0,0,NA
1572,0,0,0,0,NA
1573,0,0,0,0,NA
1574,0,0,0,0,NA
1575,0,1,0,1,NA
1576,0,0,0,0,NA
1577,0,0,0,0,NA
1578,0,0,0,0,NA
1579,1,1,0,0,NA
1580,1,1,1,0,NA
1581,1,1,1,0,NA
1582,1,1,1,1,NA
1583,0,0,0,0,NA
1584,1,1,0,0,NA
1585,0,0,0,0,NA
1586,0,0,0,0,NA
1587,1,1,0,0,NA
1588,0,0,0,0,NA
1589,0,0,0,0,NA
1590,0,0,0,0,NA
1591,1,1,1,0,NA
1592,1,0,1,0,NA
1593,1,0,0,1,NA
1594,1,1,1,0,NA
1595,1,0,0,0,NA
1596,0,0,0,0,NA
1597,0,0,0,0,NA
1598,1,1,1,1,NA
1599,0,0,0,0,NA
1600,0,0,0,0,NA
1601,1,1,0,0,NA
1602,0,0,0,0,NA
1603,1,1,1,1,NA
1604,1,1,1,1,NA
1605,0,0,0,0,NA
1606,0,0,0,0,NA
1607,1,1,1,1,NA
1608,1,1,1,1,NA
1609,1,0,1,1,NA
1610,1,1,1,0,NA
1611,0,0,0,0,NA
1612,0,0,0,0,NA
1613,1,1,1,1,NA
1614,0,0,0,0,NA
1615,0,0,0,0,NA
1616,1,1,1,1,NA
1617,1,1,0,0,NA
1618,0,1,1,1,NA
1619,0,0,0,0,NA
1620,0,0,0,0,NA
1621,0,0,0,0,NA
1622,0,0,0,0,NA
1623,0,0,0,0,NA
1624,1,1,1,1,NA
1625,0,0,0,0,NA
1626,0,0,0,0,NA
1627,0,0,0,0,NA
1628,0,0,0,0,NA
1629,1,0,1,0,NA
1630,1,1,1,0,NA
1631,1,1,0,0,NA
1632,0,0,0,0,NA
1633,0,0,0,0,NA
1634,0,0,0,0,NA
1635,1,0,1,0,NA
1636,1,0,0,0,NA
