"","ID","Shrub","Grassland","For_Evergr","For_DecidMixed","cell_id","cc_cfo_mn","cbh_cfo_mn","fire1yr_high_prop","fire2_5yr_high_prop","fire6_10yr_high_prop","fire11_35yr_high_prop","fire1yr_lowmod_prop","fire2_5yr_lowmod_prop","fire6_10yr_lowmod_prop","fire11_35yr_lowmod_prop","Latitude","elev.resid","NaiveOcc"
"1031","C4422_U1",0.006,0,0.992,0,4422,63.1066638725901,2.26068734283319,0,0,0,0,0,0,0,0,38.10413665,31.7679938961598,"Unoccupied"
"1032","C4422_U2",0.028,0.011,0.96,0,4422,53.6133891213389,2.40836820083682,0,0,0,0,0,0,0,0,38.11195496,84.223486970115,"Unoccupied"
"1033","C4440_U1",0.019,0,0.981,0,4440,76.381589958159,0.773640167364017,0,0,0,0,0,0.00148588410104012,0,0,38.09667457,-940.738044726772,"Unoccupied"
"1034","C4440_U2",0.011,0.019,0.944,0.026,4440,70.1502504173623,0.898789649415693,0,0.0176730486008837,0,0,0,0.0942562592047128,0,0,38.09110958,-923.268564532888,"Unoccupied"
"1035","C4443_U1",0.175,0,0.825,0,4443,60.9587779870266,1.14689265536723,0,0,0,0,0,0,0,0,38.09558479,-550.267284724163,"Unoccupied"
"1036","C4443_U2",0.046,0,0.954,0,4443,63.3768297783354,2.21225428690924,0,0,0,0,0,0,0.0976331360946746,0,38.08979995,-552.67745985424,"Unoccupied"
"1037","C4460_U1",0.145,0.008,0.847,0,4460,46.8906544010036,2.55425465189212,0,0,0.0250737463126844,0,0,0,0.557522123893805,0,38.07715921,106.377320846474,"Unoccupied"
"1038","C4460_U2",0.057,0,0.934,0,4460,52.3345880384776,2.34797156001673,0,0,0,0,0,0,0.0740740740740741,0,38.08162706,133.394421239109,"Unoccupied"
"1039","C4461_U1",0.151,0,0.849,0,4461,44.1374397653467,2.73077728891682,0,0,0,0,0,0,0,0,38.07638451,97.1621095563447,"Unoccupied"
"1040","C4461_U2",0,0,1,0,4461,58.0200752823087,3.10978670012547,0,0,0,0,0,0,0,0,38.08250982,122.956606662535,"Unoccupied"
"1041","C4468_U1",0,0,1,0,4468,71.752040175769,1.86064030131827,0,0,0,0,0,0,0,0,38.07415206,-616.679220117299,"Unoccupied"
"1042","C4468_U2",0.017,0,0.983,0,4468,68.088093743461,1.64553253818791,0,0,0,0,0,0,0,0,38.07451123,-550.934849671662,"Unoccupied"
"1043","C4472_U1",0.013,0,0.983,0,4472,61.9531380753138,2.15460251046025,0,0,0,0,0,0.0014792899408284,0,0,38.07368205,-65.0188563214517,"Unoccupied"
"1044","C4472_U2",0,0,0.996,0,4472,65.6062893081761,2.21278825995807,0,0,0,0,0,0.0535714285714286,0,0,38.07218656,-39.8725664524378,"Unoccupied"
"1045","C4490_U1",0.044,0,0.956,0,4490,43.5813467168549,2.98703471350899,0,0,0,0,0,0,0.592592592592593,0,38.06063175,285.129467863409,"Occupied"
"1046","C4490_U2",0.235,0.006,0.758,0,4490,50.4119615223756,2.96528649100795,0,0,0.0700447093889717,0,0,0,0.928464977645306,0,38.05633879,250.099635218041,"Occupied"
"1047","C4502_U1",0.011,0,0.989,0,4502,57.1358593259368,3.01444421184844,0,0,0.0014903129657228,0,0,0,0.871833084947839,0,38.05464393,-37.2445130862972,"Unoccupied"
"1048","C4502_U2",0.019,0,0.981,0,4502,57.9029085582758,2.631512868801,0,0,0,0,0,0,0.828655834564254,0,38.05024365,-31.4685544773962,"Unoccupied"
"1049","C4503_U1",0.241,0.008,0.752,0,4503,46.9410165237398,3.01024890190337,0,0,0.172362555720654,0,0,0,0.826151560178306,0,38.05200089,11.9038919987004,"Unoccupied"
"1050","C4503_U2",0.163,0,0.837,0,4503,51.9349780472507,2.569726113318,0,0,0.0818452380952381,0,0,0,0.910714285714286,0,38.04629578,-40.1242325090908,"Unoccupied"
"1051","C4516_U1",0.038,0,0.962,0,4516,47.0783574271946,1.57950974230044,0,0,0,0,0,0,0,0.0707964601769911,38.04747947,-111.071094290884,"Occupied"
"1052","C4516_U2",0.019,0,0.981,0,4516,50.7522475433828,1.99811833577253,0,0,0,0,0,0,0,0.704918032786885,38.03972581,-62.40498773332,"Occupied"
"1053","C4535_U1",0.203,0.006,0.791,0,4535,46.7953974895398,2.42384937238494,0,0,0.079646017699115,0,0,0,0.728613569321534,0,38.0250929,126.386815672962,"Occupied"
"1054","C4535_U2",0.229,0.008,0.763,0,4535,49.8810471204188,2.66366492146597,0,0,0.133136094674556,0,0,0.0621301775147929,0.804733727810651,0,38.02508972,62.6613276153359,"Occupied"
"1055","C4536_U1",0.013,0,0.985,0,4536,50.4216917922948,2.9428391959799,0,0,0,0,0,0,0.805059523809524,0,38.03565074,239.305402389158,"Unoccupied"
"1056","C4536_U2",0.083,0,0.917,0,4536,49.7540297257693,1.95855139208708,0,0,0,0,0,0,0.625185185185185,0,38.03071593,223.283935239794,"Occupied"
"1057","C4546_U1",0.006,0,0.994,0,4546,65.7351340033501,1.214405360134,0,0,0,0,0,0,0,0,38.02229104,-509.999803593147,"Occupied"
"1058","C4546_U2",0.013,0,0.96,0.026,4546,69.4936232490069,1.78235417102237,0,0,0,0,0,0,0,0,38.01796707,-502.045744425541,"Unoccupied"
"1059","C4563_U1",0.085,0.009,0.906,0,4563,62.9464771064186,1.87455571816851,0,0,0.00741839762611276,0,0,0,0.137982195845697,0,38.01215415,-235.897802325841,"Unoccupied"
"1060","C4563_U2",0.162,0.162,0.675,0,4563,43.9157585917854,1.72988264878458,0,0,0.0493273542600897,0,0,0,0.328849028400598,0,38.00768735,-245.563102803719,"Occupied"
"1061","C4568_U1",0.097,0,0.903,0,4568,44.5507943143813,3.18708193979933,0,0,0.0194029850746269,0,0,0,0.965671641791045,0.0776119402985075,38.00316642,-113.074955383776,"Unoccupied"
"1062","C4568_U2",0.594,0.004,0.403,0,4568,48.9098326359833,2.98619246861925,0,0,0.00887573964497041,0.255917159763314,0,0,0.924556213017751,0.677514792899408,38.00894839,-22.2168221903966,"Occupied"
"1063","C4581_U1",0.019,0,0.981,0,4581,62.2391713747646,2.89704959196485,0,0,0.0029673590504451,0,0,0,0.939169139465875,0,37.9993543,-200.782999859419,"Unoccupied"
"1064","C4581_U2",0,0,1,0,4581,52.8793644156387,3.28664018398495,0,0,0,0,0,0,0.915680473372781,0,38.00661754,-143.206841933893,"Unoccupied"
"1065","C4583_U1",0.412,0,0.588,0,4583,49.3297761037874,2.14061519146265,0,0,0.043026706231454,0,0,0,0.695845697329377,0,37.99811376,90.6309268830449,"Occupied"
"1066","C4583_U2",0.493,0,0.507,0,4583,56.3615771812081,1.26782718120805,0,0,0.0789865871833085,0,0,0,0.883755588673621,0,37.99749817,121.82085676928,"Occupied"
"1067","C4594_U1",0.015,0,0.985,0,4594,68.6407949790795,2.28682008368201,0,0,0,0,0,0,0,0,37.99417555,-615.602799246149,"Occupied"
"1068","C4594_U2",0.017,0.064,0.919,0,4594,64.5671953255426,2.35308848080134,0,0,0,0,0,0,0,0,37.99071009,-580.733469481495,"Unoccupied"
"1069","C4602_U1",0.247,0.002,0.751,0,4602,37.9671479388994,3.1358024691358,0,0,0.0282317979197623,0.0237741456166419,0,0,0.225854383358098,0.952451708766716,37.98545718,116.218564305579,"Occupied"
"1070","C4602_U2",0.361,0,0.634,0,4602,39.6295521138552,3.06739221431561,0,0,0,0.124444444444444,0,0,0,0.84,37.9908752,291.664421690528,"Occupied"
"1071","C4609_U1",0.252,0.017,0.641,0.017,4609,62.4896421845574,1.18309269721699,0,0,0,0.00739644970414201,0,0,0,0.411242603550296,37.98044673,-972.169826643619,"Unoccupied"
"1072","C4609_U2",0.113,0,0.883,0,4609,68.6260434056761,0.917988313856427,0,0,0,0.115384615384615,0,0,0,0.846153846153846,37.98660664,-918.091370198556,"Unoccupied"
"1073","C4650_U1",0.369,0.011,0.603,0,4650,34.1237178145279,2.92652292233619,0,0,0.0802377414561664,0,0,0,0.812778603268945,0.87518573551263,37.96203581,-166.171100003934,"Occupied"
"1074","C4650_U2",0.433,0.024,0.543,0,4650,32.7125497590614,2.90236748376283,0,0,0.0846953937592868,0.0846953937592868,0,0,0.888558692421991,0.887072808320951,37.95751721,-141.651793829637,"Occupied"
"1075","C4651_U1",0.631,0.025,0.343,0,4651,31.0558577405858,2.39497907949791,0,0,0.00148588410104012,0.0891530460624071,0,0,0.736998514115899,0.894502228826152,37.96377043,-75.0799087441044,"Occupied"
"1076","C4651_U2",0.826,0.013,0,0,4651,14.6339828200293,0.499685732243872,0,0,0,0.00746268656716418,0,0,0.676119402985075,0.805970149253731,37.95953443,-414.333860561529,"Unoccupied"
"1077","C4652_U1",0.847,0.002,0.056,0,4652,30.984309623431,1.05313807531381,0,0,0,0,0,0,0,0.279940119760479,37.9579111,-353.170805035732,"Unoccupied"
"1078","C4652_U2",0.647,0.002,0.134,0,4652,19.0700690232169,0.282158544237607,0,0,0,0,0,0,0,0,37.9594754,-334.884186206226,"Unoccupied"
"1079","C4675_U1",0.248,0,0.752,0,4675,70.5226939970717,0.937460782263125,0,0,0,0.95414201183432,0,0,0,0.0458579881656805,37.94082247,-690.595152979472,"Unoccupied"
"1080","C4675_U2",0.231,0,0.759,0.004,4675,45.446163495714,2.23458080702488,0,0,0,0.364179104477612,0,0,0.0104477611940299,0.635820895522388,37.95100727,-695.087021737572,"Unoccupied"
"1081","C4714_U1",0.408,0.03,0.562,0,4714,36.111926220918,2.90044015929575,0,0,0.126112759643917,0,0,0,0.79080118694362,0,37.9288572,-562.796841571834,"Unoccupied"
"1082","C4714_U2",0.925,0.03,0.045,0,4714,13.9222245452645,1.47438845912607,0,0,0.790251107828656,0,0,0,0.209748892171344,0,37.92493503,-501.677645782939,"Occupied"
"1083","C4715_U1",0.966,0.007,0.026,0,4715,25.3079172759557,0.691873824942553,0,0,0.693215339233038,0,0,0,0.297935103244838,0,37.92187717,-394.042994718167,"Occupied"
"1084","C4715_U2",0.972,0.026,0.002,0,4715,21.1364207879296,0.517602682313495,0,0,0.571005917159763,0,0,0,0.428994082840237,0,37.92109885,-520.984885789681,"Occupied"
"1085","C4736_U1",0.422,0.009,0.568,0,4736,43.4678093645485,2.82336956521739,0,0,0.0578635014836795,0.0222551928783383,0,0,0.927299703264095,0.835311572700297,37.91228241,-392.79006901012,"Unoccupied"
